ID,CALL,CN,TYPE
063E5F2D,D-KBFX,FX,Ventus ct
063F9590,D-KBFX,FX,Ventus ct
06459B05,OY-FXE,FX,Duo Discus t
06484A7D,PH-1219,FX,LS-4
064B4E57,HB-2480,FX,Arcus M
064B4E7F,HB-2520,FX,ASH-31 MI
067C1F2B,VH-GFX,FX,Speed Astir II
06D02AE6,OK-0818,FX,LS-8 18
06DDD49B,F-CGFX,FX,Pegase
06DDE29C,F-CHFX,FX,Pegase
06DDE2D6,PH-1219,FX,LS-4
06DDE64B,OY-NFX,FX,H36 Dimona
06DDEB8B,D-3554,FX,Kestrel
06DDED04,D-0897,FX,LS-8 18
06DF2971,D8202,FX,DG-303
06FD7730,Frank,FX,Paraglider
06062323,OK 1337,AU,Astir CS
06406BF0,G-KIAU,AU,SF-25
064B499B,HB-1268,AU,Libelle Club
06D0037E,D-6531,AU,ASW-19
06D02870,S5-DAU,AU,PA-18 Super Cub
06D028C8,OK-9105,AU,LS-8
06DD9280,G-KIAU,AU,SF-25
06DDA37D,D-KNAU,AU,SF-25
06DDC22E,D-2945,AU,Ka-8
06DDDA61,F-JTAU,AU,Apis 2
061E88EC,EC-AAA,AA,UFO
0631DF15,I-D801,AA,Pipistrel Virus
06330744,HA-4042,AA,Ka-8
063D1724,DEHAA,AA,DR-400
063E6138,D-KCAA,AA,SF-25
063ED364,D-KVAA,AA,ASH-31 MI
063ED8AC,DKXAA,AA,ASG-29E
063EDB50,D-KYAA,AA,DG-808 B
063EE8D7,D-2112,AA,ASW-24
063FFBA9,D-MGAA,AA,WT9 Dynamic
064B5018,HB-2929,AA,Arcus M
06A029DB,N11AA,AA,JS-3 15M
06D00413,OH-967,AA,LS-8 st
06D017DC,I-VDAA,AA,ASK-21
06D029D7,EC-JAA,AA,DG-1000
06D02C2F,EC-JAA,AA,DG-1000
06DD023C,D-KHAA,AA,Piccolo B
06DD52B9,LV-DLX,AA,Cirrus Std
06DDAFD0,D-8104,AA,LS-4
06DDD100,OM-1111,AA,ASW-20
06DDD428,SP-3292,AA,SZD-48-3 Jantar Std 3
06DDEA52,SP-3929,AA,Discus 2
06DDEBC9,OY-XUP,AA,Discus 2t
06DF10A0,DKVAA,AA,ASH-31 MI
06DF1639,F-CCAA,AA,Janus B
06FD8154,JA11AA,AA,LS-8 18
06405425,G-CHTS,H8,LS-8 18
06485D32,ph-1630,H8,Discus 2cT
06A39427,N33HB,H8,DG-300
06D02871,D-6648,H8,DG-600 18M
06DD9B2C,OE-0947,H8,Ka-8
06DDEFEB,LY-GRL,H8,LS-8
0638B7BB,F-CLBC,YB,Arcus M
06390FBB,F-CJYB,YB,Duo Discus xlt
063E5EBE,D-KBBQ,YB,Duo Discus xlt
063EEE0D,D-3446,YB,LS-4
063FED0F,D-MDYB,YB,WT9 Dynamic
06400EB5,G-BYYB,YB,Motorplane
064069BC,G-CHYB,YB,Grob G109
0648502A,PH-785,YB,LS-6
064B4B7F,HB-1752,YB,DG-300
06D0048C,D-KBBQ,YB,Duo Discus xlt
06D00A2C,OO-ZYB,YB,Libelle Club
06DD8282,PH-785,YB,LS-6
06DDD52F,F-CDYB,YB,ASK-13
06DDDAAC,SE-TYB,YB,LS-6
06DDE69F,ZE650,YB,Twin Astir II
06DF1002,D-3446,YB,LS-4
06DF14AF,D-1032,YB,Nimbus 3D
06DD8288,D-2477,5F,Janus A
06DDC0A2,D-6352,5F,LS-8
06DDDF5F,D-6352,5F,LS-8a
06DDEC5E,D-2542,5F,LS-6 18WJ
06DF0142,N130cw,5F,Ventus 2
06DF120D,D-6926,5F,LS-8 18
06001108,D-KVCM,CM,Ventus 2cxM
0611045F,CM,CM,HangGlider
0611113C,ChriMau,CM,Paraglider
062002DD,Chris81,CM,Paraglider
0638AEFB,F-CKBS,CM,DG-600
063E73F4,F-CJCM,CM,Ventus 3F
063E7E84,D-KNCM,CM,Ventus 3M
063FEC03,D-MOCM,CM,Ultralight
063FF386,D-MECM,CM,WT9 Dynamic
06A68697,N52AB,CM,LS-4
06D0041B,D-KXCM,CM,Ventus 2cM
06D00FE1,D-KKCM,CM,Nimbus 4DM
06D01F20,D-1688,CM,LS-8a
06D02088,D-KICM,CM,Ventus cM
06DD8ABE,D-1891,CM,DG-300
06DDB191,D-KMCM,CM,LS-8 st 18
06DDC1D0,LN-GCM,CM,LS-4
06DDC2E8,D-8500,CM,LS-8
06DDC462,F-CFCM,CM,Astir Jeans
06DDE01B,D-KMIB,CM,Ventus 2cM
06DDEAEE,D-KKCM,CM,Nimbus 4DM
06DDEBF0,OY-XXB,CM,Ventus 2cxT
06DDF925,D-1891,CM,DG-300
06DF0F2C,D-1891,CM,DG-300
06DF21A5,D-KOCM,CM,ASH-31 MI
0608A689,Bus_van,1,Ground Station
060DD9C7,D-4015,1,HPH 304S Shark
06107CFC,D-MWTL,1,Ultralight
0611390A,1,1,Paraglider
06113B7A,IndyAr3,1,Paraglider
061CDD52,HA-BFM,1,Cessna 150
06200250,IndyXCT,1,Paraglider
06201B69,TJ,1,Paraglider
06231147,NAVIAIR,1,UFO
062FDFCF,D-4015,1,HPH 304S Shark
0644076B,OE-9485,1,Arcus M
064B4203,HB-YZZ,1,Vans RV-8
06569650,D-MKGS,1,Paraglider
067C2B50,VH-IUA,1,Speed Astir II
067C6FBE,VH-WCW,1,Grob G109
0685E209,SP-TST,1,Unknown
06A2A4C4,N27GL,1,ASW-27
06A99889,A99889,1,Paraglider
06C057C4,C-GHGD,1,ASW-20
06C30AD0,IGC-001,1,UFO
06D00EBA,SE-UPF,1,LS-8
06D3EDD8,MabPG,1,Paraglider
06DD168E,Georg R,1,Paraglider
06DD8DD0,D-4015,1,HPH 304S Shark
06DDA2B4,D-KWAE,1,Discus 2cT
06DDB009,D6415,1,LS-4 W
06DDDB1C,SE-UTV,1,DG-500
06DF08EE,OE-9485,1,Arcus M
06FD5975,Howard,1,Paraglider
06FD6610,PGoANPE,1,Paraglider
063EDDC0,D-KYYA,YA,Arcus T
06400EB4,G-BYYA,YA,Motorplane
064AD321,SE-TYA,YA,LS-6
064B5206,HB-3423,YA,DG-1000
06A3959D,N33YA,YA,AS 33
06AA0E66,N747V,YA,Nimbus 4
06D0132B,YR-1030,YA,Discus 2
06D028FA,OK-6023,YA,DG-500
06DD8DF5,YA,YA,Twin Astir II
06DDA6E9,D-KTTM,YA,Nimbus 3
06DDA938,D-7536,YA,Astir Jeans
06DDDB33,SE-TYA,YA,LS-6
06DDE6D3,ZE637,YA,Twin Astir II
06DDED41,OK-6301,YA,Ventus 2bx
06DDEF4E,HB-2507,YA,ASG-29
06DDFE8A,D-KTTM,YA,Nimbus 3
0625A700,OM-S231,LR,Allegro 2000
062FDB57,OK-4215,LR,Blanik
064847DF,PH-1131,LR,ASW-27
064B4E94,HB-2541,LR,JS-3 18M
064B50B8,HB-3089,LR,Pegase
06DD893C,D-5523,LR,Discus 2
06DD97C4,D-XX88,LR,LS-4
06DDA26A,CC-DLR,LR,LET L-33 Solo
06DDA9C4,PH-1131,LR,ASW-27
06DDACF1,D-4508,LR,Discus
06DDBF02,D-EELR,LR,DR-400
06DDDFEB,D-MJLR,LR,Taurus
06DDE9CF,ZS-GCU,LR,JS-1 B Revelation
06DDEE3E,31E,LR,ASH-31 MI
06DF0244,D-KCUF,LR,Discus
0620072A,Mark_G,MG,Paraglider
0624E2AC,SP-BCX,MG,Balloon
06394C76,F-COMG,MG,Arcus T
063D15BE,D-EGMG,MG,Piper PA-44
063E67BE,D-KEMG,MG,DG-800
063EEFF6,D-3935,MG,LS-3
064055CF,G-OJNE,MG,Nimbus 3
066C47C4,N612MG,MG,ASK-21
067C2016,VH-GMG,MG,Cirrus Std
06A0A171,14MG,MG,Mini Nimbus
06A31E13,N30MG,MG,PIK-20 B
06A9CC25,N730MG,MG,ASH-31 MI
06D000FA,HA-4225,MG,SZD-22 Mucha Standard
06D01DCA,D-5237,MG,LS-8
06D0278F,,MG,Unknown
06DD4EFB,D-5237,MG,LS-8
06DDACDA,SP-3709,MG,SZD-41 Jantar Std
06DDBC04,G-OJNE,MG,Nimbus 3
06DDD87F,F-CGMG,MG,Marianne
06DDDBD9,D-5237,MG,LS-8
06DDE21C,D-5237,MG,LS-8a
06DDE826,HA-4035,MG,Ka-6 cr
06DF231D,XOL,MG,ASW-20
06F72606,SP3709,MG,SZD-41 Jantar Std
06F83ED0,Greiner,MG,Paraglider
06FD5DFE,MG81,MG,Paraglider
06FD6B4B,VH-XOL,MG,ASW-20
06FD6FB2,MG,MG,Mini Nimbus
063E6DB3,D-KGSX,SX,ASH-31 MI
063F0691,D-9722,SX,Duo Discus xl
0645E278,OY-XSX,SX,Nimbus 4DT
06484C82,PH-1454,SX,LS-8 18
064B4E4A,HB-2467,SX,Arcus T
067C20FF,GSX,SX,Duo Discus x
06D006CD,OY-XSX,SX,Nimbus 4DT
06D00943,G-KSSX,SX,ASG-29E
06DD50AB,D-KASX,SX,Cirrus Std
06DD8E50,OM-2007,SX,DG-100
06DDA56C,D-6601,SX,Janus B
06DDDC58,D-1744,SX,Discus 2
06DDDED4,G-KSSX,SX,ASG-29E
06DDE7E5,F-CPSX,SX,ASK-13
06DDEC91,D-KLSX,SX,ASH-26 E
06DDED84,OK-7677,SX,Cirrus Std
